codigo,region,comuna,poblacion,personas_pobreza_por_ingresos,porcentaje_pobreza_por_ingresos_2022,limite_inferior_ingreso,limite_superior_ingreso,presencia_comuna_casen,tipo_de_estimacion_sae,porcentaje_pobreza_multidimensional_2022,limite_inferior_multidimensional,limite_superior_multidimensional
3303,Atacama,Freirina,7790.0,1043.0,0.1338693829029102,0.09098509928436943,0.176753666521451,Sí,Directa y Sintética (Fay-Herriot),0.2856815387228722,0.2237119498348349,0.3476511276109094
3304,Atacama,Huasco,11485.0,1306.0,0.1137412786295817,0.08258567297541919,0.1448968842837442,Sí,Directa y Sintética (Fay-Herriot),0.1780798713095849,0.1322629805585372,0.2238967620606325
4101,Coquimbo,La Serena,260599.0,15450.0,0.05928800605494077,0.04032018481557768,0.07825582729430386,Sí,Directa y Sintética (Fay-Herriot),0.1310480151568746,0.1019504774954469,0.1601455528183022
4102,Coquimbo,Coquimbo,268325.0,18956.0,0.07064430845317174,0.04782936576226912,0.09345925114407436,Sí,Directa y Sintética (Fay-Herriot),0.1672389298298226,0.1309203824980396,0.2035574771616055
4103,Coquimbo,Andacollo,11819.0,1235.0,0.1045025470539818,0.05047802994245102,0.1585270641655125,Sí,Sintética,0.1935300648998012,0.1307171477355873,0.256342982064015
4104,Coquimbo,La Higuera,4508.0,485.0,0.1074879738365082,0.04775947642203733,0.167216471250979,Sí,Sintética,0.2952978175183854,0.2272371408076023,0.3633584942291685
4105,Coquimbo,Paiguano,4695.0,389.0,0.08291957569137363,0.01857984664661025,0.147259304736137,Sí,Sintética,0.1513910515532162,0.09277706507730497,0.2100050380291275
4106,Coquimbo,Vicuña,30247.0,3301.0,0.1091485858372039,0.03894312574414806,0.1793540459302597,Sí,Sintética,0.1946513405863561,0.127520154514649,0.2617825266580632
4201,Coquimbo,Illapel,32965.0,2655.0,0.08052492714721493,0.03804154576276418,0.1230083085316657,Sí,Directa y Sintética (Fay-Herriot),0.1695929773890534,0.1066530461031585,0.2325329086749484
4202,Coquimbo,Canela,9535.0,1555.0,0.1631210174806921,0.1000160187249092,0.2262260162364751,Sí,Sintética,0.2388523174617273,0.167621229641327,0.3100834052821276
4203,Coquimbo,Los Vilos,24015.0,2030.0,0.08452426527605875,0.04289515998441207,0.1261533705677054,Sí,Directa y Sintética (Fay-Herriot),0.2092770702585449,0.1466570999054189,0.2718970406116709
4204,Coquimbo,Salamanca,29631.0,2699.0,0.09107566551334263,0.0463435328578527,0.1358077981688326,Sí,Directa y Sintética (Fay-Herriot),0.139901338223183,0.08180306965890699,0.1979996067874589
4301,Coquimbo,Ovalle,123252.0,11719.0,0.09508512477369883,0.0648883816591513,0.1252818678882464,Sí,Directa y Sintética (Fay-Herriot),0.1796808627650461,0.1338398558606737,0.2255218696694185
4302,Coquimbo,Combarbalá,13884.0,1527.0,0.1099473813298209,0.05288735452671151,0.1670074081329304,Sí,Sintética,0.2240293085764957,0.1509583805096637,0.2971002366433276
4303,Coquimbo,Monte Patria,32649.0,4169.0,0.127703937398395,0.0773581074164494,0.1780497673803406,Sí,Directa y Sintética (Fay-Herriot),0.2318508104896711,0.1597565443892275,0.3039450765901147
4304,Coquimbo,Punitaqui,12396.0,1793.0,0.1446494802443967,0.09539201276026514,0.1939069477285283,Sí,Directa y Sintética (Fay-Herriot),0.2677243463711331,0.1959310245218238,0.3395176682204425
4305,Coquimbo,Río Hurtado,4327.0,336.0,0.07767953788425436,0.02117700049758815,0.1341820752709206,Sí,Sintética,0.2282872877532421,0.1594459171044011,0.2971286584020831
5101,Valparaíso,Valparaíso,318916.0,23524.0,0.0737638728625354,0.05728020224977533,0.09024754347529546,Sí,Directa y Sintética (Fay-Herriot),0.1909628761191595,0.1578554228515525,0.2240703293867665
5102,Valparaíso,Casablanca,30028.0,2468.0,0.08220609441285881,0.04085056184673084,0.1235616269789868,Sí,Sintética,0.1961699827907604,0.1382542573677807,0.2540857082137402
5103,Valparaíso,Concón,47320.0,1286.0,0.02717759424605647,0.006608382298674432,0.04774680619343852,Sí,Directa y Sintética (Fay-Herriot),0.1340084487646285,0.08764104998391405,0.180375847545343
5104,Valparaíso,Juan Fernández,1081.0,27.0,0.02468741376426857,0.0,0.05649367497268101,No,Sintética,0.05628132704211828,0.003474379006566844,0.1090882750776697
5105,Valparaíso,Puchuncaví,20785.0,685.0,0.032935928149776,9.852659073395637e-05,0.06577332970881805,Sí,Sintética,0.3160004576916783,0.2520502861582655,0.3799506292250912
5107,Valparaíso,Quintero,37691.0,2911.0,0.07722161790161494,0.04333430211788411,0.1111089336853458,Sí,Directa y Sintética (Fay-Herriot),0.23414688344888,0.1768375143118757,0.2914562525858844
5109,Valparaíso,Viña Del Mar,367792.0,23824.0,0.06477586261320568,0.05021998618913614,0.07933173903727522,Sí,Directa y Sintética (Fay-Herriot),0.1489177403980404,0.1216498557102221,0.1761856250858586
5201,Valparaíso,Isla De Pascua,8656.0,470.0,0.05428690418611916,0.0122588425258553,0.09631496584638302,No,Sintética,0.1247600265828785,0.06028669034510653,0.1892333628206506
5301,Valparaíso,Los Andes,68637.0,5579.0,0.0812767492126049,0.05330856229228254,0.1092449361329273,Sí,Directa y Sintética (Fay-Herriot),0.1519413798212355,0.1097478507575514,0.1941349088849195
5302,Valparaíso,Calle Larga,17225.0,1205.0,0.06996361770481122,0.02726003172174456,0.1126672036878779,Sí,Sintética,0.1446940639104032,0.09198667172173722,0.1974014560990692
5303,Valparaíso,Rinconada,11739.0,953.0,0.08114642811420583,0.04981309042800197,0.1124797658004097,Sí,Directa y Sintética (Fay-Herriot),0.2509969172056229,0.1710821626122851,0.3309116717989606
5304,Valparaíso,San Esteban,21340.0,1808.0,0.08472797179083451,0.03992745354114592,0.1295284900405231,Sí,Sintética,0.2095939608760251,0.1420483647076359,0.2771395570444142
5401,Valparaíso,La Ligua,38178.0,3121.0,0.0817521029546143,0.04315756387858199,0.1203466420306466,Sí,Directa y Sintética (Fay-Herriot),0.2360825307452728,0.173539897708742,0.2986251637818036
5402,Valparaíso,Cabildo,20747.0,1853.0,0.089311136082706,0.05120575598052653,0.1274165161848854,Sí,Directa y Sintética (Fay-Herriot),0.2054373479217536,0.1404341140166527,0.2704405818268544
5403,Valparaíso,Papudo,6357.0,461.0,0.07253834912471409,0.03068154754790338,0.1143951507015248,Sí,Sintética,0.1885167222352841,0.1269751197699079,0.2500583247006604
5404,Valparaíso,Petorca,10606.0,481.0,0.04537729044804171,0.0,0.09219904660037373,Sí,Sintética,0.1645275509237039,0.1061067611451942,0.2229483407022136
5405,Valparaíso,Zapallar,8234.0,355.0,0.04306437608327314,0.02356423073951546,0.06256452142703081,Sí,Directa y Sintética (Fay-Herriot),0.2664368650991422,0.2237039027245007,0.3091698274737836
5501,Valparaíso,Quillota,99694.0,5282.0,0.05297922431878745,0.02629017598105831,0.07966827265651659,Sí,Directa y Sintética (Fay-Herriot),0.1548179568227342,0.1122152762148443,0.1974206374306241
5502,Valparaíso,Calera,53820.0,3817.0,0.07091313623489373,0.04202400140385032,0.09980227106593714,Sí,Directa y Sintética (Fay-Herriot),0.1672269428239748,0.1219209234303878,0.2125329622175618
5503,Valparaíso,Hijuelas,19342.0,1757.0,0.09084773723802529,0.05224880989667868,0.1294466645793719,Sí,Directa y Sintética (Fay-Herriot),0.223375759902125,0.1571639557636394,0.2895875640406106
5504,Valparaíso,La Cruz,26916.0,854.0,0.03173284322544457,0.009524397684138416,0.05394128876675072,Sí,Directa y Sintética (Fay-Herriot),0.13961148087308,0.0875920796311748,0.1916308821149851
5506,Valparaíso,Nogales,23603.0,1313.0,0.05562038074395192,0.008004656527356421,0.1032361049605474,Sí,Sintética,0.1507740114176979,0.09234542106869269,0.2092026017667031
5601,Valparaíso,San Antonio,97919.0,6493.0,0.06631099529915913,0.03767822289407891,0.09494376770423935,Sí,Directa y Sintética (Fay-Herriot),0.1421766789704198,0.09544195000193759,0.1889114079389021
5602,Valparaíso,Algarrobo,15724.0,953.0,0.06063867952141082,0.03171937574877912,0.08955798329404252,Sí,Directa y Sintética (Fay-Herriot),0.1958341211778206,0.1410234061062501,0.250644836249391
5603,Valparaíso,Cartagena,26416.0,1961.0,0.0742176240862708,0.0384539936977536,0.109981254474788,Sí,Directa y Sintética (Fay-Herriot),0.2836208815158964,0.2243312632579696,0.3429104997738232
5604,Valparaíso,El Quisco,18432.0,1651.0,0.08955603465692674,0.04854230128662518,0.1305697680272283,Sí,Directa y Sintética (Fay-Herriot),0.1172667245833501,0.05977093950331307,0.1747625096633872
5605,Valparaíso,El Tabo,14888.0,493.0,0.03309025582593765,0.005162496143078864,0.06101801550879644,Sí,Directa y Sintética (Fay-Herriot),0.2069859415587958,0.1383575038187683,0.2756143792988233
5606,Valparaíso,Santo Domingo,12364.0,739.0,0.05978177660742861,0.02153911519307496,0.09802443802178226,Sí,Sintética,0.1613014468356764,0.0961042232332168,0.2264986704381361
5701,Valparaíso,San Felipe,85576.0,6007.0,0.07020009159942014,0.04363950867693044,0.09676067452190985,Sí,Directa y Sintética (Fay-Herriot),0.1720309448127638,0.1303150031356471,0.2137468864898805
5702,Valparaíso,Catemu,15528.0,1870.0,0.1204219901044855,0.07258409646075405,0.168259883748217,Sí,Directa y Sintética (Fay-Herriot),0.1845712712210038,0.1253449284248796,0.2437976140171281
5703,Valparaíso,Llaillay,27021.0,2482.0,0.09185904888894914,0.0505937787885305,0.1331243189893678,Sí,Directa y Sintética (Fay-Herriot),0.1553861159047455,0.0984485850734419,0.2123236467360491
5704,Valparaíso,Panquehue,7762.0,737.0,0.09489930883376847,0.05549468149254421,0.1343039361749927,Sí,Directa y Sintética (Fay-Herriot),0.1825311779668508,0.12985300035703,0.2352093555766717
5705,Valparaíso,Putaendo,17884.0,1793.0,0.10026670029428,0.05078066133911004,0.14975273924945,Sí,Sintética,0.2318458256018698,0.1639449360750004,0.2997467151287392
5706,Valparaíso,Santa María,16746.0,1490.0,0.08900295579648335,0.05108955103539601,0.1269163605575707,Sí,Directa y Sintética (Fay-Herriot),0.1977829503860865,0.1347825853852909,0.260783315386882
5801,Valparaíso,Quilpué,171137.0,9494.0,0.05547451853066231,0.03623030812174348,0.07471872893958113,Sí,Directa y Sintética (Fay-Herriot),0.1603025276312196,0.1295312458943979,0.1910738093680413
5802,Valparaíso,Limache,51006.0,3508.0,0.0687725825529546,0.03710383736070731,0.1004413277452019,Sí,Directa y Sintética (Fay-Herriot),0.1761617545896549,0.1204031833085989,0.2319203258707109
5803,Valparaíso,Olmué,19878.0,1490.0,0.07496697583142214,0.04110909386656742,0.1088248577962769,Sí,Directa y Sintética (Fay-Herriot),0.2611433684465534,0.1960440417591566,0.3262426951339502
5804,Valparaíso,Villa Alemana,144303.0,6411.0,0.04442612322411763,0.02206137000027653,0.06679087644795874,Sí,Directa y Sintética (Fay-Herriot),0.1496365970013776,0.1104405164314985,0.1888326775712567
6101, O'Higgins,Rancagua,270994.0,17158.0,0.06331478989682579,0.04982878763330584,0.07680079216034574,Sí,Directa y Sintética (Fay-Herriot),0.1467860766126442,0.1252378222722944,0.1683343309529941
6102, O'Higgins,Codegua,14424.0,800.0,0.05548542612595471,0.01756098986606811,0.09340986238584131,Sí,Sintética,0.181508850542737,0.1265609418009689,0.2364567592845051
6103, O'Higgins,Coinco,7957.0,782.0,0.09821882569477522,0.05709593312920379,0.1393417182603466,Sí,Directa y Sintética (Fay-Herriot),0.2186544384888069,0.1659494193436343,0.2713594576339795
6104, O'Higgins,Coltauco,21816.0,2186.0,0.1002123568807099,0.0480802947216418,0.152344419039778,Sí,Sintética,0.1640428627989336,0.112573220841265,0.2155125047566022
6105, O'Higgins,Doñihue,23288.0,2110.0,0.09061546751777677,0.05576819150695216,0.1254627435286014,Sí,Directa y Sintética (Fay-Herriot),0.150522331716512,0.1053312177056306,0.1957134457273935
6106, O'Higgins,Graneros,37562.0,1980.0,0.05272534982380029,0.0256488153866445,0.07980188426095608,Sí,Directa y Sintética (Fay-Herriot),0.1326121310780797,0.08878018537908644,0.1764440767770729
6107, O'Higgins,Las Cabras,27350.0,2072.0,0.07577006188229371,0.03752785033825236,0.1140122734263351,Sí,Directa y Sintética (Fay-Herriot),0.1647209003832161,0.1073096187656661,0.2221321820007662
6108, O'Higgins,Machalí,62947.0,1915.0,0.03042403007836555,0.01033395350378445,0.05051410665294664,Sí,Directa y Sintética (Fay-Herriot),0.1288279502614129,0.09541661066193671,0.162239289860889
6109, O'Higgins,Malloa,14257.0,1396.0,0.09792245885499484,0.0479530072830021,0.1478919104269876,Sí,Sintética,0.1339766549633481,0.08208541435831554,0.1858678955683806
6110, O'Higgins,Mostazal,28147.0,2059.0,0.0731439871895892,0.04065955598270433,0.1056284183964741,Sí,Directa y Sintética (Fay-Herriot),0.2103144227321731,0.1543986165796644,0.2662302288846817
